region,中国,156
region,中国,北京,4
region,中国,天津,8
region,中国,河北,18
region,中国,广东,高州,184
region,中国,广东,肇庆,179
region,中国,广东,惠州,165
region,中国,广东,惠阳,166
region,中国,广东,梅州,169
region,中国,广东,汕尾,171
region,中国,广东,河源,173
region,中国,广东,阳江,181
region,中国,广东,清远,175
region,中国,广东,东莞,159
region,中国,广东,中山,160
region,中国,广东,潮州,160
region,中国,广东,揭阳,167
region,中国,广东,普宁,168
region,中国,广东,云浮,161
region,中国,广西,14
region,中国,广西,南宁,186
region,中国,广西,柳州,189
region,中国,广西,桂林,190
region,中国,广西,梧州,191
region,中国,广西,北海,185
region,中国,广西,防城港,198
region,中国,广西,钦州,197
region,中国,广西,贵港,195
region,中国,广西,玉林,193
region,中国,广西,百色,194
region,中国,广西,贺州,196
region,中国,广西,河池,192
region,中国,广西,来宾,188
region,中国,广西,崇左,187
region,中国,海南,21
region,中国,海南,海口,305
region,中国,海南,三亚,301
region,中国,海南,三沙,446
region,中国,海南,五指山,447
region,中国,海南,琼海,306
region,中国,海南,儋州,303
region,中国,海南,文昌,304
region,中国,海南,万宁,448
region,中国,海南,东方,449
region,中国,海南,定安县,450
region,中国,海南,屯昌县,451
region,中国,海南,澄迈县,452
region,中国,海南,临高县,453
region,中国,海南,白沙黎族自治县,454
region,中国,海南,昌江黎族自治县,455
region,中国,海南,乐东黎族自治县,456
region,中国,海南,陵水黎族自治县,457
region,中国,海南,保亭黎族苗族自治县,458
region,中国,海南,琼中黎族苗族自治县,459
region,中国,重庆,30
region,中国,四川,7
region,中国,四川,成都,86
region,中国,四川,都江堰,98
region,中国,四川,自贡,93
region,中国,四川,攀枝花,87
region,中国,四川,泸州,89
region,中国,四川,德阳,85
region,中国,四川,广汉,83
region,中国,四川,绵阳,92
region,中国,四川,江油,88
region,中国,四川,广元,81
region,中国,四川,遂宁,97
region,中国,四川,内江,76
region,中国,四川,乐山,75
region,中国,四川,南充,78
region,中国,四川,眉山,91
region,中国,四川,宜宾,79
region,中国,四川,广安,82
region,中国,四川,达州,96
region,中国,四川,雅安,100
region,中国,四川,巴中,80
region,中国,四川,资阳,95
region,中国,四川,阿坝藏族羌族自治州,99
region,中国,四川,甘孜藏族自治州,90
region,中国,四川,康定,84
region,中国,四川,凉山彝族自治州,77
region,中国,四川,西昌,94
region,中国,贵州,28
region,中国,贵州,贵阳,377
region,中国,贵州,六盘水,372
region,中国,贵州,遵义,378
region,中国,贵州,安顺,375
region,中国,贵州,毕节,376
region,中国,贵州,铜仁,380
region,中国,贵州,黔西南布依族苗族自治州,383
region,中国,贵州,兴义,373
region,中国,贵州,黔东南苗族侗族自治州,381
region,中国,贵州,凯里,374
region,中国,贵州,黔南布依族苗族自治州,382
region,中国,贵州,都匀,379
region,中国,云南,2
region,中国,云南,昆明,43
region,中国,云南,曲靖,46
region,中国,云南,玉溪,48
region,中国,云南,保山,37
region,中国,云南,昭通,44
region,中国,云南,丽江,36
region,中国,云南,普洱,45
region,中国,云南,思茅,41
region,中国,云南,临沧,35
region,中国,云南,楚雄彝族自治州,47
region,中国,云南,红河哈尼族彝族自治州,49
region,中国,云南,蒙自,50
region,中国,云南,文山壮族苗族自治州,42
region,中国,云南,西双版纳傣族自治州,51
region,中国,云南,大理白族自治州,38
region,中国,云南,德宏傣族景颇族自治州,39
region,中国,云南,怒江傈僳族自治州,40
region,中国,云南,迪庆藏族自治州,52
region,中国,西藏,27
region,中国,西藏,拉萨,366
region,中国,西藏,日喀则地区,367
region,中国,西藏,日喀则,367
region,中国,西藏,昌都地区,368
region,中国,西藏,山南地区,365
region,中国,西藏,那曲地区,370
region,中国,西藏,阿里地区,371
region,中国,西藏,林芝地区,369
region,中国,西藏,林芝,369
region,中国,陕西,31
region,中国,陕西,西安,406
region,中国,陕西,铜川,407
region,中国,陕西,宝鸡,401
region,中国,陕西,咸阳,398
region,中国,陕西,渭南,405
region,中国,陕西,延安,402
region,中国,陕西,汉中,404
region,中国,陕西,榆林,403
region,中国,陕西,安康,400
region,中国,陕西,商洛,399
region,中国,甘肃,25
region,中国,甘肃,兰州,340
region,中国,甘肃,榆中,348
region,中国,甘肃,嘉峪关,342
region,中国,甘肃,金昌,353
region,中国,甘肃,白银,351
region,中国,甘肃,天水,343
region,中国,甘肃,武威,349
region,中国,甘肃,张掖,347
region,中国,甘肃,平凉,345
region,中国,甘肃,酒泉,352
region,中国,甘肃,庆阳,346
region,中国,甘肃,定西,344
region,中国,甘肃,陇南,354
region,中国,甘肃,临夏回族自治州,339
region,中国,甘肃,甘南藏族自治州,350
region,中国,甘肃,合作,341
region,中国,青海,32
region,中国,青海,西宁,414
region,中国,青海,海东,409
region,中国,青海,海北藏族自治州,410
region,中国,青海,黄南藏族自治州,415
region,中国,青海,海南藏族自治州,411
region,中国,青海,果洛藏族自治州,408
region,中国,青海,玉树藏族自治州,413
region,中国,青海,海西蒙古族藏族自治州,412
region,中国,宁夏,9
region,中国,宁夏,银川,105
region,中国,宁夏,石嘴山,104
region,中国,宁夏,吴忠,102
region,中国,宁夏,固原,103
region,中国,宁夏,中卫,101
region,中国,新疆,15
region,中国,新疆,乌鲁木齐,199
region,中国,新疆,克拉玛依,203
region,中国,新疆,吐鲁番地区,205
region,中国,新疆,吐鲁番,205
region,中国,新疆,哈密地区,207
region,中国,新疆,昌吉回族自治州,212
region,中国,新疆,博尔塔拉蒙古自治州,204
region,中国,新疆,巴音郭楞蒙古自治州,210
region,中国,新疆,库尔勒,211
region,中国,新疆,阿克苏地区,214
region,中国,新疆,克孜勒苏柯尔克孜自治州,202
region,中国,新疆,喀什地区,208
region,中国,新疆,和田地区,206
region,中国,新疆,伊犁哈萨克自治州,201
region,中国,新疆,伊宁,200
region,中国,新疆,塔城地区,209
region,中国,新疆,阿勒泰地区,215
region,中国,新疆,石河子,213
region,中国,新疆,阿拉尔,216
region,中国,台湾,5
region,中国,台湾,澎湖县,430
region,中国,台湾,新北市,431
region,中国,台湾,台北市,432
region,中国,台湾,嘉义县,433
region,中国,台湾,高雄市,434
region,中国,台湾,台中市,435
region,中国,台湾,新竹市,436
region,中国,台湾,桃园市,437
region,中国,台湾,基隆市,438
region,中国,台湾,嘉义市,439
region,中国,台湾,云林县,440
region,中国,台湾,屏东县,441
region,中国,台湾,金门县,442
region,中国,台湾,台南市,443
region,中国,台湾,宜兰县,444
region,中国,台湾,花莲县,445
region,中国,香港,33
region,中国,澳门,24
region,安道尔,020
region,阿联酋,784
region,阿富汗,004
region,安提瓜和巴布达,028
region,安圭拉,660
region,阿尔巴尼亚,008
region,亚美尼亚,051
region,安哥拉,024
region,南极洲,010
region,阿根廷,032
region,美属萨摩亚,016
region,奥地利,040
region,澳大利亚,036
region,阿鲁巴,533
region,奥兰群岛,248
region,阿塞拜疆,031
region,波斯尼亚和黑塞哥维那,070
region,巴巴多斯,052
region,孟加拉,050
region,比利时,056
region,布基纳法索,854
region,保加利亚,100
region,巴林,048
region,布隆迪,108
region,贝宁,204
region,圣巴泰勒米,652
region,百慕大,060
region,文莱,096
region,玻利维亚,068
region,荷兰加勒比区,535
region,巴西,076
region,巴哈马,044
region,不丹,064
region,布韦岛,074
region,博茨瓦纳,072
region,白俄罗斯,112
region,伯利兹,084
region,加拿大,124
region,科科斯（基林）群岛,166
region,刚果(金),180
region,中非,140
region,刚果(布),178
region,瑞士,756
region,科特迪瓦,384
region,库克群岛,184
region,智利,152
region,喀麦隆,120
region,哥伦比亚,170
region,哥斯达黎加,188
region,古巴,192
region,佛得角,132
region,库拉索,531
region,圣诞岛,162
region,塞浦路斯,196
region,捷克,203
region,德国,276
region,吉布提,262
region,丹麦,208
region,多米尼克,212
region,多米尼加,214
region,阿尔及利亚,012
region,厄瓜多尔,218
region,爱沙尼亚,233
region,埃及,818
region,撒拉威阿拉伯民主共和国,732
region,厄立特里亚,232
region,西班牙,724
region,埃塞俄比亚,231
region,芬兰,246
region,斐济,242
region,福克兰群岛,238
region,密克罗尼西亚联邦,583
region,法罗群岛,234
region,法国,250
region,加蓬,266
region,英国,826
region,格林纳达,308
region,格鲁吉亚,268
region,法属圭亚那,254
region,根西岛,831
region,加纳,288
region,直布罗陀,292
region,格陵兰,304
region,冈比亚,270
region,几内亚,324
region,瓜德罗普,312
region,赤道几内亚,226
region,希腊,300
region,南乔治亚岛和南桑威奇群岛,239
region,危地马拉,320
region,关岛,316
region,几内亚比绍,624
region,圭亚那,328
region,香港,344
region,赫德岛和麦克唐纳群岛,334
region,洪都拉斯,340
region,克罗地亚,191
region,海地,332
region,匈牙利,348
region,印度尼西亚,360
region,爱尔兰,372
region,以色列,376
region,马恩岛,833
region,印度,356
region,英属印度洋领地,086
region,伊拉克,368
region,伊朗,364
region,冰岛,352
region,意大利,380
region,泽西岛,832
region,牙买加,388
region,约旦,400
region,日本,392
region,肯尼亚,404
region,吉尔吉斯斯坦,417
region,柬埔寨,116
region,基里巴斯,296
region,科摩罗,174
region,圣基茨和尼维斯,659
region,朝鲜,408
region,韩国,410
region,科威特,414
region,开曼群岛,136
region,哈萨克斯坦,398
region,老挝,418
region,黎巴嫩,422
region,圣卢西亚,662
region,列支敦士登,438
region,斯里兰卡,144
region,利比里亚,430
region,莱索托,426
region,立陶宛,440
region,卢森堡,442
region,拉脱维亚,428
region,利比亚,434
region,摩洛哥,504
region,摩纳哥,492
region,摩尔多瓦,498
region,黑山,499
region,法属圣马丁,663
region,马达加斯加,450
region,马绍尔群岛,584
region,马其顿,807
region,马里,466
region,缅甸,104
region,蒙古,496
region,澳门,446
region,北马里亚纳群岛,580
region,马提尼克岛,474
region,毛里塔尼亚,478
region,蒙塞拉特岛,500
region,马耳他,470
region,毛里求斯,480
region,马尔代夫,462
region,马拉维,454
region,墨西哥,484
region,马来西亚,458
region,莫桑比克,508
region,纳米比亚,516
region,新喀里多尼亚,540
region,尼日尔,562
region,诺福克岛,574
region,尼日利亚,566
region,尼加拉瓜,558
region,纳戈尔诺,296
region,荷兰,528
region,挪威,578
region,尼泊尔,524
region,瑙鲁,520
region,纽埃岛,570
region,新西兰,554
region,阿曼,512
region,巴拿马,591
region,秘鲁,604
region,法属波利尼西亚,258
region,巴布亚新几内亚,598
region,菲律宾,608
region,巴基斯坦,586
region,波兰,616
region,圣皮埃尔和密克隆群岛,666
region,皮特凯恩群岛,612
region,波多黎各,630
region,巴勒斯坦,275
region,葡萄牙,620
region,帕劳,585
region,巴拉圭,600
region,卡达,634
region,留尼汪岛,638
region,罗马尼亚,642
region,塞尔维亚,688
region,俄罗斯,643
region,卢旺达,646
region,沙特阿拉伯,682
region,所罗门群岛,090
region,塞舌尔,690
region,苏丹,729
region,瑞典,752
region,新加坡,702
region,圣赫勒拿,654
region,斯洛文尼亚,705
region,斯瓦尔巴特群岛,744
region,斯洛伐克,703
region,塞拉利昂,694
region,圣马力诺,674
region,塞内加尔,686
region,索马里,706
region,苏里南,740
region,南苏丹,728
region,圣多美和普林西比,678
region,萨尔瓦多,222
region,荷属圣马丁,534
region,叙利亚,760
region,斯威士兰,748
region,特克斯和凯科斯群岛,796
region,乍得,148
region,法属南部领地,260
region,多哥,768
region,泰国,764
region,塔吉克斯坦,762
region,托克劳群岛,772
region,东帝汶,626
region,土库曼斯坦,795
region,突尼斯,788
region,汤加,776
region,土耳其,792
region,特立尼达和多巴哥,780
region,图瓦卢,798
region,中华民国,158
region,坦桑尼亚,834
region,乌克兰,804
region,乌干达,800
region,美国本土外小岛屿,581
region,美国,840
region,乌拉圭,858
region,乌兹别克斯坦,860
region,梵蒂冈,336
region,圣文森特和格林纳丁斯,670
region,委内瑞拉,862
region,英属维尔京群岛,092
region,美属维京群岛,850
region,越南,704
region,瓦努阿图,548
region,瓦利斯和富图纳群岛,876
region,萨摩亚,882
region,也门,887
region,马约特,175
region,南非,710
region,赞比亚,894
region,津巴布韦,716
isp,移动,1
isp,联通,2
isp,CHINAUNICOM,2
isp,电信,3
isp,CHINATELECOM,3
isp,华数,4
isp,教育网,5
isp,鹏博士,6
isp,阿里云,7
isp,广电网,8
isp,铁通,9
isp,科技网,10
isp,有线通,11
isp,歌华有线,12
isp,数讯,13
isp,珠江宽频,14
isp,方正宽带,15
isp,京宽网络,16
isp,天威视讯,17
isp,中企通信,18
